train_size,train_mean,train_std,cv_mean,cv_std,gap
371,0.7573190074316745,0.02682075107442748,0.7652056429841263,0.020377864007936203,-0.007886635552451837
742,0.791378096754077,0.013463214731623768,0.7779914483615868,0.03112947986024716,0.013386648392490152
1114,0.7858552816667611,0.01622654743020273,0.7762216179537234,0.025833002556337907,0.009633663713037754
1485,0.7805546035619249,0.009580914564990422,0.7681229637466491,0.02762361729613173,0.01243163981527573
1980,0.7817130269879291,0.008759696808648864,0.7730605833344316,0.023387883082649576,0.008652443653497488
2476,0.781920803625993,0.0042884356633644816,0.7711985670102603,0.019968252661707292,0.010722236615732683
